Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
CBB,Showdown Captain Mode,2976090089,CBB Showdown $1 50-50 [Top 50% Win] (NOVA vs TENN),118753921,11/20/21 13:00,6,137.38,$0.00 ,$0.00 ,10,$1.00 ,$9.00 ,5
CBB,Showdown Captain Mode,2975927750,CBB Showdown $250 And-One (MICH vs UNLV),118691225,11/20/21 0:15,215,137.63,$0.00 ,$0.00 ,297,$1.00 ,$250.00 ,68
CBB,Showdown Captain Mode,2975517898,CBB Showdown $1 Double Up (MICH vs UNLV),118693045,11/20/21 0:15,16,137.63,$0.00 ,$0.00 ,20,$1.00 ,$20.00 ,10
CBB,Classic,2975609822,CBB $1K And-One,118724851,11/19/21 19:00,558,199,$0.00 ,$0.00 ,1189,$1.00 ,"$1,000.00 ",285
CBB,Classic,2975515958,CBB $1 Double Up,118736409,11/19/21 19:00,16,199,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Classic,2975604542,NBA Single Entry $5 Double Up,118748780,11/19/21 19:00,198,259.75,$0.00 ,$0.00 ,229,$5.00 ,"$1,000.00 ",100
NBA,Classic,2975614759,NBA $250 Daily Dollar [Single Entry],118749515,11/19/21 19:00,183,259.75,$0.00 ,$0.00 ,297,$1.00 ,$250.00 ,68
NBA,Classic,2975624828,NBA $2 DakotaLuttrell vs. jimmykim810,118750227,11/19/21 19:00,2,259.75,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Showdown Captain Mode,2975151968,NBA Showdown $1 Double Up (DAL vs PHX),118730282,11/19/21 22:00,18,209.63,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Showdown Captain Mode,2975169557,NBA Showdown $1 Double Up (CHI vs DEN),118727952,11/19/21 21:00,2,241.63,$2.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Showdown Captain Mode,2975143072,NBA Showdown $1 Double Up (LAC vs NOP),118726327,11/19/21 20:00,17,185.5,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Showdown Captain Mode,2975169510,NBA Showdown $1 Double Up (LAL vs BOS),118732551,11/19/21 19:30,8,240.88,$1.50 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Showdown Captain Mode,2975143035,NBA Showdown $1 Double Up (GSW vs DET),118732660,11/19/21 19:00,16,198.63,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
CBB,Showdown Captain Mode,2973986843,CBB Showdown $200 And-One (ASU vs SDSU),118620405,11/18/21 22:30,226,125,$0.00 ,$0.00 ,237,$1.00 ,$200.00 ,55
CBB,Showdown Captain Mode,2973010951,CBB Showdown $1 jimmykim810 vs. AUNTJUDYISALOSER (ASU vs SDSU),118657591,11/18/21 22:30,1,125,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2972940573,NBA Showdown $1 jimmykim810 vs. bighelmetfrankgore (PHI vs DEN),118654570,11/18/21 21:00,1,198,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
